,nlm,dmmhc,gbc,unsharp
292,0.994707,0.991207,0.993116,0.995042
458,0.99015,0.995035,0.9971209999999999,0.99244
357,0.9925129999999999,0.995035,0.9971209999999999,0.995042
160,0.997182,0.995035,0.9945719999999999,0.999016
366,0.9925129999999999,0.995035,0.993116,0.996943
332,0.9925129999999999,0.997199,0.9971209999999999,0.995042
14,0.9991120000000001,0.9990049999999999,0.9945719999999999,0.9905940000000001
255,0.994707,0.995035,0.9971209999999999,0.999016
324,0.9925129999999999,0.9990049999999999,0.9919629999999999,0.9905940000000001
54,0.9991120000000001,0.995035,0.999035,0.9905940000000001
146,0.997182,0.997199,0.9919629999999999,0.996943
433,0.99015,0.997199,0.9971209999999999,0.99244
452,0.99015,0.995035,0.999035,0.995042
380,0.9925129999999999,0.991207,0.9971209999999999,0.999016
19,0.9991120000000001,0.9990049999999999,0.993116,0.9905940000000001
264,0.994707,0.995035,0.9945719999999999,0.9905940000000001
289,0.994707,0.991207,0.9945719999999999,0.9905940000000001
400,0.99015,0.9990049999999999,0.999035,0.999016
116,0.997182,0.9990049999999999,0.993116,0.996943
214,0.994707,0.9990049999999999,0.9945719999999999,0.9905940000000001
498,0.99015,0.991207,0.9919629999999999,0.99244
148,0.997182,0.997199,0.9919629999999999,0.99244
424,0.99015,0.9990049999999999,0.9919629999999999,0.9905940000000001
108,0.997182,0.9990049999999999,0.9971209999999999,0.99244
122,0.997182,0.9990049999999999,0.9919629999999999,0.995042
444,0.99015,0.997199,0.993116,0.9905940000000001
177,0.997182,0.991207,0.999035,0.995042
202,0.994707,0.9990049999999999,0.999035,0.995042
133,0.997182,0.997199,0.9971209999999999,0.99244
352,0.9925129999999999,0.995035,0.999035,0.995042
60,0.9991120000000001,0.995035,0.9945719999999999,0.999016
256,0.994707,0.995035,0.9971209999999999,0.996943
127,0.997182,0.997199,0.999035,0.995042
456,0.99015,0.995035,0.9971209999999999,0.996943
140,0.997182,0.997199,0.993116,0.999016
279,0.994707,0.991207,0.999035,0.9905940000000001
35,0.9991120000000001,0.997199,0.9945719999999999,0.999016
126,0.997182,0.997199,0.999035,0.996943
426,0.99015,0.997199,0.999035,0.996943
407,0.99015,0.9990049999999999,0.9971209999999999,0.995042
203,0.994707,0.9990049999999999,0.999035,0.99244
107,0.997182,0.9990049999999999,0.9971209999999999,0.995042
157,0.997182,0.995035,0.9971209999999999,0.995042
450,0.99015,0.995035,0.999035,0.999016
434,0.99015,0.997199,0.9971209999999999,0.9905940000000001
67,0.9991120000000001,0.995035,0.993116,0.995042
486,0.99015,0.991207,0.9945719999999999,0.996943
45,0.9991120000000001,0.997199,0.9919629999999999,0.999016
4,0.9991120000000001,0.9990049999999999,0.999035,0.9905940000000001
394,0.9925129999999999,0.991207,0.993116,0.9905940000000001
93,0.9991120000000001,0.991207,0.993116,0.99244
99,0.9991120000000001,0.991207,0.9919629999999999,0.9905940000000001
453,0.99015,0.995035,0.999035,0.99244
441,0.99015,0.997199,0.993116,0.996943
229,0.994707,0.997199,0.999035,0.9905940000000001
447,0.99015,0.997199,0.9919629999999999,0.995042
51,0.9991120000000001,0.995035,0.999035,0.996943
103,0.997182,0.9990049999999999,0.999035,0.99244
396,0.9925129999999999,0.991207,0.9919629999999999,0.996943
478,0.99015,0.991207,0.999035,0.99244
494,0.99015,0.991207,0.993116,0.9905940000000001
110,0.997182,0.9990049999999999,0.9945719999999999,0.999016
165,0.997182,0.995035,0.993116,0.999016
392,0.9925129999999999,0.991207,0.993116,0.995042
286,0.994707,0.991207,0.9945719999999999,0.996943
188,0.997182,0.991207,0.9945719999999999,0.99244
437,0.99015,0.997199,0.9945719999999999,0.995042
389,0.9925129999999999,0.991207,0.9945719999999999,0.9905940000000001
432,0.99015,0.997199,0.9971209999999999,0.995042
468,0.99015,0.995035,0.993116,0.99244
32,0.9991120000000001,0.997199,0.9971209999999999,0.995042
353,0.9925129999999999,0.995035,0.999035,0.99244
119,0.997182,0.9990049999999999,0.993116,0.9905940000000001
334,0.9925129999999999,0.997199,0.9971209999999999,0.9905940000000001
262,0.994707,0.995035,0.9945719999999999,0.995042
271,0.994707,0.995035,0.9919629999999999,0.996943
217,0.994707,0.9990049999999999,0.993116,0.995042
267,0.994707,0.995035,0.993116,0.995042
355,0.9925129999999999,0.995035,0.9971209999999999,0.999016
493,0.99015,0.991207,0.993116,0.99244
124,0.997182,0.9990049999999999,0.9919629999999999,0.9905940000000001
120,0.997182,0.9990049999999999,0.9919629999999999,0.999016
152,0.997182,0.995035,0.999035,0.995042
244,0.994707,0.997199,0.993116,0.9905940000000001
47,0.9991120000000001,0.997199,0.9919629999999999,0.995042
309,0.9925129999999999,0.9990049999999999,0.9971209999999999,0.9905940000000001
222,0.994707,0.9990049999999999,0.9919629999999999,0.995042
260,0.994707,0.995035,0.9945719999999999,0.999016
219,0.994707,0.9990049999999999,0.993116,0.9905940000000001
276,0.994707,0.991207,0.999035,0.996943
225,0.994707,0.997199,0.999035,0.999016
193,0.997182,0.991207,0.993116,0.99244
252,0.994707,0.995035,0.999035,0.995042
226,0.994707,0.997199,0.999035,0.996943
412,0.99015,0.9990049999999999,0.9945719999999999,0.995042
235,0.994707,0.997199,0.9945719999999999,0.999016
