nlm,unsharp,combined
0.98332,0.935652,0.910082
0.98332,0.928572,0.903047
0.98332,0.927671,0.902162
0.98332,0.924443,0.900999
0.98332,0.924094,0.900999
0.98332,0.91852,0.894947
0.98332,0.918375,0.895032
0.98332,0.917524,0.89422
0.98332,0.907334,0.883965
0.98332,0.902727,0.879831
0.98332,0.902622,0.879831
0.983057,0.991816,0.971666
0.983057,0.989259,0.966534
0.983057,0.987116,0.962165
0.983057,0.98269,0.96183
0.983057,0.980983,0.96183
0.983057,0.980383,0.956874
0.983057,0.977997,0.952341
0.983057,0.975763,0.951928
0.983057,0.960799,0.935
0.983057,0.960482,0.935572
0.983057,0.959499,0.93536
0.983057,0.95531,0.929611
0.983057,0.954313,0.928667
0.983057,0.947242,0.922089
0.983057,0.946154,0.920296
0.983057,0.938844,0.912616
0.983057,0.937941,0.911669
0.983057,0.935652,0.908822
0.983057,0.928572,0.902147
0.983057,0.927671,0.901207
0.983057,0.924443,0.90042
0.983057,0.924094,0.90042
0.983057,0.91852,0.89478
0.983057,0.918375,0.892707
0.983057,0.917524,0.89167
0.983057,0.907334,0.881671
0.983057,0.902727,0.879258
0.983057,0.902622,0.879258
0.982948,0.991816,0.971822
0.982948,0.989259,0.966658
0.982948,0.987116,0.962275
0.982948,0.98269,0.962041
0.982948,0.980983,0.962041
0.982948,0.980383,0.957283
0.982948,0.977997,0.952729
0.982948,0.975763,0.952343
0.982948,0.960799,0.934825
0.982948,0.960482,0.935379
0.982948,0.959499,0.935094
0.982948,0.95531,0.92908
0.982948,0.954313,0.928078
0.982948,0.947242,0.9229
0.982948,0.946154,0.921057
0.982948,0.938844,0.912594
0.982948,0.937941,0.911625
0.982948,0.935652,0.909132
0.982948,0.928572,0.90209
0.982948,0.927671,0.901119
0.982948,0.924443,0.900936
0.982948,0.924094,0.900597
0.982948,0.91852,0.893465
0.982948,0.918375,0.89471
0.982948,0.917524,0.893903
0.982948,0.907334,0.883708
0.982948,0.902727,0.879964
0.982948,0.902622,0.879964
0.982446,0.991816,0.971347
0.982446,0.989259,0.96622
0.982446,0.987116,0.961854
0.982446,0.98269,0.961552
0.982446,0.980983,0.961552
0.982446,0.980383,0.956805
0.982446,0.977997,0.95229
0.982446,0.975763,0.951924
0.982446,0.960799,0.934613
0.982446,0.960482,0.93569
0.982446,0.959499,0.935494
0.982446,0.95531,0.930144
0.982446,0.954313,0.929269
0.982446,0.947242,0.922504
0.982446,0.946154,0.920599
0.982446,0.938844,0.913231
0.982446,0.937941,0.912301
0.982446,0.935652,0.909367
0.982446,0.928572,0.902765
0.982446,0.927671,0.90183
0.982446,0.924443,0.900485
0.982446,0.924094,0.900485
0.982446,0.91852,0.893752
0.982446,0.918375,0.894309
0.982446,0.917524,0.893451
0.982446,0.907334,0.883214
0.982446,0.902727,0.879306
0.982446,0.902622,0.879306
0.982287,0.991816,0.97093
0.982287,0.989259,0.965725
0.982287,0.987116,0.961459
0.982287,0.98269,0.961183
0.982287,0.980983,0.961183
0.982287,0.980383,0.956246
0.982287,0.977997,0.951731
0.982287,0.975763,0.951375
0.982287,0.960799,0.93337
0.982287,0.960482,0.934985
0.982287,0.959499,0.934782
0.982287,0.95531,0.928326
0.982287,0.954313,0.927322
0.982287,0.947242,0.921658
0.982287,0.946154,0.919308
0.982287,0.938844,0.911802
0.982287,0.937941,0.910844
0.982287,0.935652,0.90752
0.982287,0.928572,0.901385
0.982287,0.927671,0.900426
0.982287,0.924443,0.899999
0.982287,0.924094,0.899716
0.982287,0.91852,0.894007
0.982287,0.918375,0.89367
0.982287,0.917524,0.892833
0.982287,0.907334,0.882632
0.982287,0.902727,0.878794
0.982287,0.902622,0.878697
0.980575,0.991816,0.969322
0.980575,0.989259,0.964284
0.980575,0.987116,0.96
0.980575,0.98269,0.959563
0.980575,0.980983,0.959563
0.980575,0.980383,0.954612
0.980575,0.977997,0.950331
0.980575,0.975763,0.949863
0.980575,0.960799,0.931798
0.980575,0.960482,0.9341
0.980575,0.959499,0.933964
0.980575,0.95531,0.926729
0.980575,0.954313,0.925682
0.980575,0.947242,0.920269
0.980575,0.946154,0.918614
0.980575,0.938844,0.910909
0.980575,0.937941,0.90998
0.980575,0.935652,0.906859
0.980575,0.928572,0.900631
0.980575,0.927671,0.899696
0.980575,0.924443,0.899133
0.980575,0.924094,0.898851
0.980575,0.91852,0.8925
0.980575,0.918375,0.893272
